 0.0041800 0.0010700 0.0009900 0.0009800 0.0009500 0.0009000 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300
 0.0010700 0.0009900 0.0009800 0.0009500 0.0009000 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700
 0.0009900 0.0009800 0.0009500 0.0009000 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500
 0.0009800 0.0009500 0.0009000 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900
 0.0009500 0.0009000 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500
 0.0009000 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300
 0.0008600 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100
 0.0008000 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700
 0.0007600 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800
 0.0007400 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600
 0.0007300 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000
 0.0007700 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100
 0.0008500 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900
 0.0009900 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600
 0.0011500 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600 0.0018200
 0.0013300 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600 0.0018200 0.0017700
 0.0015100 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600 0.0018200 0.0017700 0.0017300
 0.0016700 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600 0.0018200 0.0017700 0.0017300 0.0017100
 0.0017800 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600 0.0018200 0.0017700 0.0017300 0.0017100 0.0017000
 0.0018600 0.0019000 0.0019100 0.0018900 0.0018600 0.0018200 0.0017700 0.0017300 0.0017100 0.0017000 0.0017100
 0.0014250 0.0015280 0.0016065 0.0016740 0.0016380 0.0016815 0.0016435 0.0016245 0.0016150 0.0016245 0.0017300
 0.0014325 0.0015120 0.0015810 0.0016380 0.0015930 0.0016435 0.0016245 0.0016150 0.0016245 0.0016435 0.0017800
 0.0014175 0.0014880 0.0015470 0.0015930 0.0015570 0.0016245 0.0016150 0.0016245 0.0016435 0.0016910 0.0018300
 0.0013950 0.0014560 0.0015045 0.0015570 0.0015390 0.0016150 0.0016245 0.0016435 0.0016910 0.0017385 0.0019100
 0.0013650 0.0014160 0.0014705 0.0015390 0.0015300 0.0016245 0.0016435 0.0016910 0.0017385 0.0018145 0.0020000
 0.0013275 0.0013840 0.0014535 0.0015300 0.0015390 0.0016435 0.0016910 0.0017385 0.0018145 0.0019000 0.0021100
 0.0012975 0.0013680 0.0014450 0.0015390 0.0015570 0.0016910 0.0017385 0.0018145 0.0019000 0.0020045 0.0022400
